T34,T58,T172,T160,T161,T12,T147,T113,T162,T173,T48,T281,T102,T124,T22,T318,T780,T258,T123,T11,T183,T305,T270,T23,T199,T317,T233,T9,T781,T344,T282,T293,T159,T60,T206,T100,T348,T343,T148,T197,T35,T170,T269,T111,T112,T241,T21,T193,T345,T213,T45,T59
MEG_3670|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,0,0,0,2.0,0,0,2.0,0,2.0,0,0,8.0,2.0,0,2.0,0,0,2.0,2.0,0,0,2.0,4.0,0,0,4.0,0,0,0,2.0,2.0,2.0,2.0,0,0,0,0,4.0,0,0,0,2.0,6.0,0,0,0,0,0,2.0,0,0,0
MEG_3219|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,17.0,0,25.0,264.0,35.0,10.0,2.0,18.0,0,41.0,2.0,189.0,21.0,4.0,7.0,57.0,2.0,42.0,6.0,2.0,16.0,180.0,219.0,5.0,5.0,177.0,6.0,2.0,0,89.0,62.0,280.0,63.0,2.0,0,8.0,0,112.0,2.0,0,6.0,71.0,152.0,6.0,4.0,7.0,8.0,0,53.0,5.0,8.0,7.0
MEG_8299|Drugs|betalactams|Class_D_betalactamases|OXA,31.0,8.0,12.0,44.0,20.0,25.0,39.0,15.0,16.0,24.0,20.0,65.0,24.0,20.0,12.0,38.0,5.0,29.0,19.0,0,15.0,41.0,58.0,18.0,12.0,42.0,12.0,20.0,0,37.0,32.0,63.0,25.0,12.0,10.0,20.0,2.0,43.0,12.0,0,4.0,22.0,74.0,26.0,14.0,8.0,15.0,6.0,30.0,18.0,17.0,16.0
MEG_5901|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,2.0,0,0,2.0,0,0,2.0,2.0,0,0,0,8.0,0,0,0,4.0,0,2.0,0,0,0,3.0,2.0,0,0,0,2.0,0,0,2.0,4.0,2.0,2.0,0,0,0,0,2.0,0,0,0,0,6.0,2.0,0,0,0,0,0,0,0,0
MEG_6013|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,0,0,0,0,0,0,2.0,2.0,0,2.0,0,10.0,0,0,2.0,0,0,2.0,0,0,4.0,4.0,4.0,0,0,4.0,0,0,0,2.0,2.0,5.0,2.0,0,0,0,0,2.0,0,0,0,0,6.0,0,0,0,0,0,2.0,0,2.0,0
MEG_2651|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DMEF,78.0,23.0,49.0,120.0,42.0,58.0,95.0,59.0,29.0,88.0,36.0,142.0,59.0,41.0,60.0,50.0,4.0,67.0,55.0,8.0,53.0,88.0,98.0,38.0,38.0,82.0,27.0,44.0,0,72.0,79.0,95.0,92.0,12.0,25.0,58.0,9.0,61.0,63.0,13.0,19.0,48.0,142.0,74.0,27.0,18.0,39.0,25.0,61.0,35.0,38.0,50.0
MEG_3822|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,3.0,0,0,4.0,0,0,0,0,0,4.0,0,4.0,0,0,0,1.0,0,2.0,0,0,0,6.0,11.0,0,0,3.0,0,0,0,6.0,5.0,4.0,2.0,0,0,0,0,11.0,0,0,0,0,8.0,2.0,0,0,0,0,5.0,0,0,0
MEG_6078|Drugs|betalactams|Class_A_betalactamases|ROB,2.0,0,0,4.0,2.0,2.0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,0,2.0,0,0,0,4.0,2.0,0,2.0,0,0,0,0,2.0,0,0,0,2.0,2.0,2.0,0,0,0,0,0,0,0,0
MEG_7910|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_91|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,2.0,0,0,2.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,0,2.0,0,4.0,6.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,0,2.0
MEG_1044|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,5.0,2.0,2.0,6.0,4.0,4.0,4.0,16.0,0,11.0,0,4.0,5.0,2.0,11.0,6.0,0,6.0,2.0,0,4.0,9.0,2.0,0,0,2.0,0,0,0,4.0,2.0,7.0,66.0,0,0,4.0,0,2.0,0,0,0,2.0,7.0,35.0,0,3.0,2.0,0,2.0,0,18.0,2.0
MEG_4726|Drugs|betalactams|Class_D_betalactamases|OXA,6.0,2.0,0,8.0,4.0,4.0,12.0,6.0,2.0,6.0,0,20.0,4.0,0,4.0,4.0,2.0,8.0,0,2.0,2.0,12.0,13.0,0,10.0,6.0,4.0,0,0,10.0,18.0,12.0,12.0,0,0,4.0,0,10.0,0,2.0,0,0,28.0,6.0,2.0,2.0,0,2.0,4.0,2.0,2.0,2.0
MEG_7534|Drugs|Glycopeptides|VanN-type_resistance_protein|VANTN,0,2.0,0,9.0,0,0,0,6.0,0,8.0,0,14.0,0,0,0,4.0,0,2.0,2.0,0,2.0,6.0,10.0,0,2.0,2.0,2.0,2.0,0,8.0,4.0,2.0,8.0,0,0,2.0,0,14.0,2.0,0,0,4.0,8.0,2.0,2.0,2.0,0,0,0,0,2.0,6.0
MEG_5516|Drugs|betalactams|Class_C_betalactamases|PDC,0,0,0,4.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,0,4.0,0,2.0,0,0,0,0,0,6.0,0,0,2.0,0,0,2.0,0,0,0,0,2.0,0,0,0,0,0,0,0,4.0
MEG_204|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,0,0,0,0,6.0,0,0,0,0,0,0,2.0,2.0,6.0,3.0,0,0,0,0,0,0,0,0,4.0,4.0,0,0,0,0,0,2.0,0,0,2.0
MEG_1279|Drugs|betalactams|Class_C_betalactamases|BLAEC,4.0,0,2.0,2.0,2.0,2.0,6.0,15.0,3.0,14.0,0,12.0,4.0,4.0,2.0,8.0,5.0,9.0,4.0,0,19.0,7.0,15.0,0,0,11.0,8.0,0,0,4.0,4.0,10.0,18.0,4.0,0,0,0,3.0,4.0,0,0,8.0,41.0,6.0,2.0,4.0,6.0,0,4.0,4.0,2.0,42.0
MEG_4858|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,0,0,0,2.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0
MEG_2540|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,2.0,0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,2.0,2.0,4.0,0,2.0,0,0,0,2.0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,0,0
MEG_5155|Drugs|betalactams|Class_D_betalactamases|OXA,23.0,12.0,16.0,43.0,15.0,28.0,44.0,23.0,16.0,32.0,17.0,46.0,31.0,14.0,20.0,29.0,2.0,22.0,24.0,2.0,31.0,37.0,49.0,14.0,18.0,30.0,12.0,16.0,0,24.0,28.0,43.0,52.0,10.0,8.0,26.0,2.0,17.0,28.0,2.0,16.0,27.0,77.0,38.0,14.0,8.0,25.0,12.0,17.0,15.0,21.0,18.0
MEG_5802|Multi-compound|Drug_and_metal_resistance|Drug_and_metal_MFS_efflux_pumps|PMRG,4.0,2.0,7.0,10.0,2.0,2.0,6.0,12.0,2.0,9.0,0,24.0,2.0,4.0,4.0,8.0,84.0,8.0,4.0,0,8.0,11.0,10.0,4.0,4.0,10.0,4.0,4.0,0,11.0,6.0,15.0,25.0,4.0,0,2.0,0,8.0,4.0,2.0,2.0,6.0,26.0,4.0,7.0,7.0,2.0,6.0,13.0,2.0,8.0,7.0
MEG_3745|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,0,0,0,8.0,0,0,0,6.0,0,6.0,0,14.0,2.0,0,0,4.0,0,2.0,0,0,2.0,6.0,9.0,0,0,7.0,0,0,0,7.0,6.0,8.0,8.0,2.0,0,0,0,8.0,0,0,0,0,14.0,6.0,0,0,0,0,4.0,2.0,4.0,0
MEG_3814|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,0,0,0,15.0,0,0,2.0,24.0,0,5.0,0,44.0,3.0,0,0,9.0,0,15.0,0,0,6.0,23.0,56.0,0,0,26.0,4.0,6.0,0,18.0,3.0,39.0,10.0,0,0,0,0,16.0,2.0,0,0,8.0,30.0,1.0,2.0,2.0,4.0,2.0,7.0,2.0,4.0,0
MEG_156|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,6.0,0,4.0,4.0,0,4.0,6.0,2.0,0,10.0,0,10.0,0,2.0,0,8.0,2.0,4.0,2.0,2.0,4.0,9.0,10.0,0,2.0,6.0,4.0,2.0,0,2.0,4.0,10.0,14.0,2.0,0,0,0,6.0,0,0,2.0,4.0,12.0,4.0,0,0,4.0,0,4.0,2.0,2.0,4.0
MEG_276|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4062|Drugs|betalactams|Class_B_betalactamases|MSI,98.0,13.0,46.0,105.0,53.0,74.0,85.0,44.0,41.0,84.0,43.0,161.0,47.0,39.0,49.0,85.0,5.0,68.0,41.0,18.0,55.0,99.0,102.0,61.0,34.0,87.0,29.0,44.0,0,88.0,94.0,102.0,91.0,19.0,19.0,55.0,8.0,70.0,46.0,6.0,32.0,58.0,162.0,62.0,26.0,14.0,42.0,16.0,80.0,29.0,49.0,53.0
MEG_7404|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA,18.0,6.0,4.0,29.0,4.0,5.0,20.0,4.0,4.0,20.0,4.0,50.0,10.0,4.0,10.0,21.0,0,18.0,2.0,0,10.0,30.0,27.0,6.0,12.0,39.0,2.0,9.0,0,21.0,26.0,33.0,22.0,4.0,4.0,12.0,0,26.0,8.0,0,4.0,7.0,56.0,17.0,4.0,11.0,10.0,2.0,30.0,4.0,12.0,8.0
MEG_7105|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2.0,0,0,301.0,22.0,2.0,0,2.0,0,19.0,0,10.0,5.0,0,6.0,5.0,0,9.0,0,0,4.0,49.0,109.0,1.0,4.0,91.0,0,0,0,13.0,2.0,92.0,16.0,0,0,18.0,0,8.0,2.0,0,0,22.0,18.0,7.0,0,1.0,1.0,0,5.0,0,5.0,4.0
MEG_5686|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,0,0,2.0,0,0,2.0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,2.0,0,4.0,0,0,0,0,0,0,0,0,0,2.0,4.0,0,2.0,0,0,0,0,0,0
MEG_8259|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRG,4.0,2.0,0,9.0,2.0,2.0,0,2.0,0,12.0,0,16.0,4.0,0,0,6.0,0,6.0,0,0,4.0,8.0,9.0,0,0,4.0,0,2.0,0,8.0,2.0,8.0,8.0,2.0,0,0,0,12.0,2.0,0,0,8.0,18.0,4.0,2.0,2.0,0,2.0,2.0,0,0,4.0
MEG_1683|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CFRB,2.0,0,0,0,0,0,2.0,6.0,0,2.0,0,6.0,0,0,0,0,0,2.0,0,0,2.0,3.0,4.0,0,0,2.0,0,0,0,2.0,4.0,8.0,18.0,2.0,2.0,0,0,12.0,2.0,0,0,4.0,6.0,0,0,0,0,0,4.0,0,2.0,3.0
MEG_7752|Drugs|betalactams|Class_B_betalactamases|VIM,0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3374|Drugs|betalactams|Class_B_betalactamases|IMP,2.0,2.0,2.0,15.0,2.0,4.0,0,0,0,7.0,0,10.0,2.0,0,0,4.0,0,4.0,0,0,2.0,5.0,11.0,2.0,0,4.0,0,0,0,4.0,4.0,9.0,7.0,0,0,2.0,0,4.0,0,0,0,4.0,5.0,2.0,0,0,0,0,4.0,0,2.0,2.0
MEG_4046|Drugs|MLS|Macrolide_phosphotransferases|MPHH,168.0,20.0,49.0,109.0,48.0,55.0,99.0,58.0,45.0,101.0,48.0,328.0,81.0,38.0,46.0,181.0,4.0,134.0,50.0,17.0,75.0,306.0,379.0,39.0,44.0,293.0,64.0,45.0,0,184.0,197.0,440.0,109.0,35.0,27.0,63.0,2.0,187.0,49.0,4.0,37.0,64.0,316.0,65.0,45.0,27.0,56.0,25.0,160.0,33.0,73.0,54.0
MEG_7407|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA,2.0,2.0,2.0,4.0,0,0,6.0,2.0,0,2.0,0,10.0,0,0,2.0,2.0,0,4.0,0,0,0,2.0,4.0,2.0,0,2.0,2.0,0,0,4.0,0,6.0,0,2.0,2.0,0,0,2.0,4.0,0,2.0,2.0,13.0,0,2.0,0,4.0,0,4.0,0,0,2.0
MEG_6414|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,0,0,4.0,4.0,4.0,2.0,0,2.0,0,2.0,0,2.0,0,2.0,2.0,0,0,2.0,0,0,0,2.0,0,2.0,0,0,0,0,0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,2.0,8.0,0,0,0,0,0,0,0,0,4.0
MEG_6989|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET39,2.0,0,0,2.0,2.0,0,0,2.0,0,2.0,0,4.0,0,0,0,2.0,0,0,0,0,0,2.0,6.0,0,0,0,0,0,0,4.0,0,2.0,4.0,0,0,0,0,2.0,0,0,0,2.0,4.0,0,0,0,0,0,0,0,2.0,2.0
MEG_3221|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,25.0,0,10.0,49.0,11.0,0,4.0,12.0,0,18.0,1.0,66.0,12.0,0,2.0,23.0,8.0,7.0,0,0,8.0,86.0,98.0,3.0,2.0,44.0,0,0,0,34.0,15.0,120.0,13.0,0,0,5.0,0,30.0,0,0,0,13.0,57.0,5.0,2.0,4.0,6.0,0,16.0,4.0,7.0,4.0
MEG_8675|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOCR|RequiresSNPConfirmation,1234.0,210.0,670.0,1188.0,603.0,556.0,1024.0,1006.0,322.0,1204.0,509.0,2091.0,729.0,443.0,903.0,1115.0,36.0,943.0,525.0,87.0,850.0,1919.0,2183.0,650.0,782.0,1719.0,431.0,498.0,12.0,1194.0,1174.0,2144.0,1790.0,422.0,198.0,585.0,56.0,1022.0,592.0,58.0,478.0,539.0,1974.0,1711.0,352.0,286.0,584.0,307.0,1017.0,1133.0,1097.0,1329.0
MEG_6080|Drugs|betalactams|Class_A_betalactamases|ROB,0,0,2.0,4.0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,4.0,4.0,0,0,0,0,4.0,0,0,0,0,4.0,2.0,0,0,0,0,2.0,0,0,0
MEG_7267|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,2.0,2.0,6.0,16.0,3.0,12.0,14.0,80.0,10.0,109.0,4.0,18.0,6.0,6.0,9.0,12.0,98.0,4.0,17.0,1.0,28.0,13.0,38.0,4.0,4.0,10.0,12.0,6.0,0,21.0,10.0,14.0,233.0,5.0,2.0,6.0,0,26.0,13.0,0,8.0,17.0,106.0,19.0,23.0,0,16.0,4.0,8.0,17.0,31.0,106.0
MEG_1770|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,0,0,0,4.0,2.0,2.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,5.0,0,2.0,4.0,0,4.0,0,0,2.0,4.0,2.0,2.0,0,0,2.0,2.0,0,0,0,2.0,2.0,0,0,2.0,0,0,2.0,0,0,0
MEG_4477|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5960|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,3.0,4.0,0,0,2.0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0
MEG_5864|Drugs|Fluoroquinolones|Quinolone_active_efflux|QEPA,69.0,8.0,23.0,105.0,40.0,45.0,95.0,30.0,29.0,53.0,18.0,101.0,32.0,16.0,38.0,70.0,2.0,45.0,18.0,6.0,43.0,54.0,81.0,29.0,28.0,42.0,10.0,28.0,0,60.0,63.0,96.0,113.0,7.0,6.0,34.0,2.0,63.0,52.0,2.0,22.0,56.0,141.0,53.0,26.0,8.0,33.0,6.0,28.0,22.0,38.0,35.0
MEG_6575|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,2.0,0,4.0,0,4.0,0,8.0,31.0,2.0,56.0,0,10.0,0,2.0,2.0,2.0,33.0,7.0,2.0,0,14.0,7.0,6.0,3.0,2.0,2.0,0,0,0,2.0,2.0,8.0,103.0,12.0,0,0,0,4.0,7.0,0,1.0,0,41.0,10.0,15.0,2.0,8.0,2.0,0,8.0,14.0,31.0
MEG_8077|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|EFRA,17.0,0,6.0,33.0,6.0,8.0,4.0,10.0,0,20.0,0,45.0,12.0,0,4.0,22.0,26.0,22.0,6.0,0,10.0,26.0,52.0,3.0,3.0,32.0,2.0,2.0,0,48.0,27.0,47.0,22.0,0,2.0,10.0,0,48.0,0,0,2.0,14.0,53.0,12.0,2.0,8.0,4.0,0,23.0,0,4.0,5.0
MEG_6457|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,2.0,0,0,0,0,0,2.0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2015|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CNRY,2.0,0,0,7.0,0,0,4.0,0,0,2.0,0,10.0,6.0,2.0,2.0,6.0,0,6.0,4.0,0,2.0,4.0,6.0,0,0,4.0,4.0,2.0,0,6.0,8.0,6.0,4.0,0,0,2.0,0,4.0,2.0,0,0,0,15.0,0,0,2.0,0,0,4.0,0,2.0,2.0
MEG_2596|Drugs|betalactams|Class_C_betalactamases|DHA,0,0,0,8.0,0,2.0,4.0,2.0,2.0,10.0,0,13.0,8.0,2.0,4.0,4.0,2.0,2.0,2.0,0,2.0,2.0,6.0,0,2.0,0,0,0,0,0,4.0,6.0,13.0,0,0,2.0,0,10.0,0,0,0,2.0,29.0,8.0,0,2.0,2.0,0,8.0,2.0,4.0,2.0
MEG_3064|Metals|Iron_resistance|Iron_resistance_regulator|FURA,4.0,0,3.0,4.0,0,3.0,4.0,2.0,4.0,6.0,0,12.0,0,2.0,0,2.0,0,2.0,2.0,0,0,2.0,4.0,2.0,2.0,4.0,0,2.0,0,4.0,0,6.0,6.0,0,0,0,0,2.0,0,0,0,2.0,4.0,0,0,0,2.0,0,4.0,0,2.0,2.0
MEG_6650|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TCR3,167.0,38.0,96.0,210.0,87.0,109.0,174.0,95.0,83.0,159.0,90.0,285.0,122.0,61.0,86.0,184.0,8.0,147.0,83.0,16.0,131.0,201.0,240.0,70.0,68.0,162.0,64.0,102.0,0,182.0,180.0,273.0,174.0,40.0,44.0,123.0,16.0,164.0,117.0,10.0,59.0,116.0,307.0,128.0,66.0,44.0,89.0,30.0,156.0,66.0,86.0,82.0
MEG_7786|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEC,2.0,0,4.0,11.0,2.0,2.0,0,8.0,0,4.0,0,11.0,4.0,0,0,2.0,0,4.0,2.0,0,0,8.0,12.0,2.0,2.0,10.0,0,0,0,10.0,8.0,15.0,7.0,0,0,3.0,0,4.0,2.0,0,2.0,3.0,16.0,2.0,2.0,2.0,4.0,0,4.0,0,6.0,2.0
MEG_3127|Drugs|betalactams|Class_A_betalactamases|GES,81.0,6.0,36.0,109.0,43.0,59.0,79.0,50.0,34.0,77.0,39.0,132.0,52.0,31.0,36.0,68.0,0,67.0,29.0,6.0,59.0,73.0,115.0,37.0,33.0,69.0,22.0,35.0,0,74.0,77.0,101.0,100.0,16.0,16.0,41.0,4.0,98.0,46.0,6.0,20.0,49.0,159.0,53.0,31.0,12.0,30.0,20.0,73.0,26.0,41.0,37.0
MEG_3687|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,2.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0
MEG_527|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7143|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,7.0,0,0,80.0,15.0,3.0,0,2.0,0,14.0,0,11.0,7.0,0,2.0,8.0,0,4.0,0,0,0,42.0,76.0,2.0,0,47.0,0,0,0,6.0,3.0,45.0,14.0,0,0,0,0,10.0,0,0,0,12.0,19.0,6.0,0,4.0,0,0,5.0,0,6.0,4.0
MEG_8364|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0
